[2026-02-10 19:37:54,427: INFO: main : Logging is implemented]
[2026-02-10 19:38:09,502: INFO: main : Logging is implemented]
[2026-02-11 22:58:33,214: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 22:58:33,227: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 22:58:33,232: INFO: common : created directory at: artifacts]
[2026-02-11 22:58:33,237: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 22:59:06,126: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 22:59:06,130: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 22:59:06,132: INFO: common : created directory at: artifacts]
[2026-02-11 22:59:06,138: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:02:34,497: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:02:34,501: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:02:34,507: INFO: common : created directory at: artifacts]
[2026-02-11 23:02:34,510: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:04:44,777: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:04:44,784: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:04:44,787: INFO: common : created directory at: artifacts]
[2026-02-11 23:04:44,792: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:04:57,515: INFO: 227420655 : File is downloaded]
[2026-02-11 23:05:26,630: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:05:26,634: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:05:26,637: INFO: common : created directory at: artifacts]
[2026-02-11 23:05:26,639: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:05:44,154: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:05:44,157: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:05:44,159: INFO: common : created directory at: artifacts]
[2026-02-11 23:05:44,161: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:06:29,104: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:06:29,106: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:06:29,112: INFO: common : created directory at: artifacts]
[2026-02-11 23:06:29,115: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:07:31,468: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-11 23:07:31,475: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-11 23:07:31,477: INFO: common : created directory at: artifacts]
[2026-02-11 23:07:31,484: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-11 23:07:32,097: INFO: 1337268052 : File is downloaded]
[2026-02-12 01:15:11,840: INFO: main : stage Data Ingestion stage initiated]
[2026-02-12 01:15:11,844: INFO: common : yaml file: config\config.yaml loaded successfully]
[2026-02-12 01:15:11,846: INFO: common : yaml file: params.yaml loaded successfully]
[2026-02-12 01:15:11,848: INFO: common : created directory at: artifacts]
[2026-02-12 01:15:11,849: INFO: common : created directory at: artifacts/data_ingestion]
[2026-02-12 01:15:15,436: INFO: data_ingestion : File is downloaded]
[2026-02-12 01:15:15,720: INFO: main : Stage Data Ingestion stage Completed]
